2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016, count
1,1,1,1,1,1,1,1,1,1,1,2012
0,1,1,1,1,1,1,1,1,1,1,523
0,0,1,1,1,1,1,1,1,1,1,2012
0,0,0,1,1,1,1,1,1,1,1,523
0,0,0,0,1,1,1,1,1,1,1,2012
0,1,1,0,0,1,1,1,0,1,1,523
0,0,1,0,1,1,1,0,0,1,1,523
1,1,0,0,1,0,1,0,0,1,1,523
1,0,1,0,1,1,1,0,1,1,1,523
1,1,1,0,1,1,1,0,0,1,1,523
1,0,1,0,1,1,1,0,0,1,0,523
1,1,1,1,1,1,1,1,1,1,1,2012
0,1,1,1,1,1,1,1,1,1,1,523
0,0,1,1,1,1,1,1,1,1,1,2012
0,0,0,1,1,1,1,1,1,1,1,523
0,0,0,0,1,1,1,1,1,1,1,2012
0,1,1,0,0,1,1,1,0,1,1,523
0,0,1,0,1,1,1,0,0,1,1,523
1,1,0,0,1,0,1,0,0,1,1,523
1,0,1,0,1,1,1,0,1,1,1,523
1,1,1,0,1,1,1,0,0,1,1,523
1,0,1,0,1,1,1,0,0,1,0,523
1,1,1,1,1,1,1,1,1,1,1,2012
0,1,1,1,1,1,1,1,1,1,1,523
0,0,1,1,1,1,1,1,1,1,1,2012
0,0,0,1,1,1,1,1,1,1,1,523
0,0,0,0,1,1,1,1,1,1,1,2012
0,1,1,0,0,1,1,1,0,1,1,523
0,0,1,0,1,1,1,0,0,1,1,523
1,1,0,0,1,0,1,0,0,1,1,523
1,0,1,0,1,1,1,0,1,1,1,523
1,1,1,0,1,1,1,0,0,1,1,523
1,0,1,0,1,1,1,0,0,1,0,523
