day,month,year,ucla,uci,ucsf,ucd,ucsd
1,9,2016,1,1,1,1,1
2,9,2016,1,1,1,1,1
3,9,2016,1,1,1,1,1
4,9,2016,1,1,1,1,1
5,9,2016,1,1,1,1,1
6,9,2016,1,1,1,1,1
7,9,2016,1,1,1,1,1
8,9,2016,1,1,1,1,1
9,9,2016,4,4,4,4,4
10,9,2016,1,1,1,1,1
11,9,2016,1,1,1,1,1
12,9,2016,4,6,4,4,4
13,9,2016,1,1,1,1,1
14,9,2016,1,1,1,1,1
15,9,2016,1,1,1,1,1
16,9,2016,4,6,4,4,4
17,9,2016,1,1,1,1,1
18,9,2016,1,1,1,1,1
19,9,2016,4,4,4,4,4
20,9,2016,6,6,4,4,4
21,9,2016,6,6,4,4,4
22,9,2016,1,1,1,1,1
23,9,2016,1,1,1,1,1
24,9,2016,1,1,1,1,1
25,9,2016,1,1,1,1,1
26,9,2016,1,1,1,1,1
27,9,2016,1,1,1,1,1
28,9,2016,1,1,1,1,1
29,9,2016,1,1,1,1,1
30,9,2016,1,1,1,1,1
